system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2015-10-16_4,D12,2015-10-16T00:00:00,2015-10-16,2.6182727272727275,sims,3x3,et,
2015-10-16_5,D14,2015-10-16T00:00:00,2015-10-16,2.878770706190061,sims,3x3,et,
2015-10-16_8,D04,2015-10-16T00:00:00,2015-10-16,2.538867102396514,sims,3x3,et,
2015-10-16_9,D06,2015-10-16T00:00:00,2015-10-16,2.518134263295554,sims,3x3,et,
2015-10-16_11,D10,2015-10-16T00:00:00,2015-10-16,3.492015706806283,sims,3x3,et,
2015-10-16_10,D09,2015-10-16T00:00:00,2015-10-16,1.2438045375218152,sims,3x3,et,
2015-10-16_12,D13,2015-10-16T00:00:00,2015-10-16,3.8653896386591207,sims,3x3,et,
2015-10-16_13,D01,2015-10-16T00:00:00,2015-10-16,1.3395642701525055,sims,3x3,et,
2015-10-16_14,D05,2015-10-16T00:00:00,2015-10-16,2.5590292960209884,sims,3x3,et,
2015-10-16_6,D07,2015-10-16T00:00:00,2015-10-16,0.7859633827375764,sims,3x3,et,
2015-10-16_7,D08,2015-10-16T00:00:00,2015-10-16,1.0,sims,3x3,et,
2015-10-16_2,D03,2015-10-16T00:00:00,2015-10-16,2.335365853658536,sims,3x3,et,
2015-10-16_3,D11,2015-10-16T00:00:00,2015-10-16,0.7958151700087186,sims,3x3,et,
2015-10-16_1,D02,2015-10-16T00:00:00,2015-10-16,2.8844104803493447,sims,3x3,et,
2015-10-17_4,D12,2015-10-17T00:00:00,2015-10-17,2.0759545454545454,sims,3x3,et,
2015-10-17_5,D14,2015-10-17T00:00:00,2015-10-17,2.278770706190061,sims,3x3,et,
2015-10-17_8,D04,2015-10-17T00:00:00,2015-10-17,2.0833115468409584,sims,3x3,et,
2015-10-17_9,D06,2015-10-17T00:00:00,2015-10-17,1.9994768962510894,sims,3x3,et,
2015-10-17_11,D10,2015-10-17T00:00:00,2015-10-17,2.730890052356021,sims,3x3,et,
2015-10-17_10,D09,2015-10-17T00:00:00,2015-10-17,0.9733420593368238,sims,3x3,et,
2015-10-17_12,D13,2015-10-17T00:00:00,2015-10-17,3.000565955594253,sims,3x3,et,
2015-10-17_13,D01,2015-10-17T00:00:00,2015-10-17,1.0631808278867103,sims,3x3,et,
2015-10-17_14,D05,2015-10-17T00:00:00,2015-10-17,2.1343244425010934,sims,3x3,et,
2015-10-17_6,D07,2015-10-17T00:00:00,2015-10-17,0.6,sims,3x3,et,
2015-10-17_7,D08,2015-10-17T00:00:00,2015-10-17,0.7549704947798455,sims,3x3,et,
2015-10-17_2,D03,2015-10-17T00:00:00,2015-10-17,1.823562717770035,sims,3x3,et,
2015-10-17_3,D11,2015-10-17T00:00:00,2015-10-17,0.6,sims,3x3,et,
2015-10-17_1,D02,2015-10-17T00:00:00,2015-10-17,2.1877292576419216,sims,3x3,et,
2015-10-18_4,D12,2015-10-18T00:00:00,2015-10-18,1.7573181818181822,sims,3x3,et,
2015-10-18_5,D14,2015-10-18T00:00:00,2015-10-18,1.9333042720139497,sims,3x3,et,
2015-10-18_8,D04,2015-10-18T00:00:00,2015-10-18,1.727755991285403,sims,3x3,et,
2015-10-18_9,D06,2015-10-18T00:00:00,2015-10-18,1.6403225806451611,sims,3x3,et,
2015-10-18_11,D10,2015-10-18T00:00:00,2015-10-18,2.2999563699825476,sims,3x3,et,
2015-10-18_10,D09,2015-10-18T00:00:00,2015-10-18,0.7856893542757417,sims,3x3,et,
2015-10-18_12,D13,2015-10-18T00:00:00,2015-10-18,2.721723987810187,sims,3x3,et,
2015-10-18_13,D01,2015-10-18T00:00:00,2015-10-18,0.9395642701525055,sims,3x3,et,
2015-10-18_14,D05,2015-10-18T00:00:00,2015-10-18,1.865588106689987,sims,3x3,et,
2015-10-18_6,D07,2015-10-18T00:00:00,2015-10-18,0.5,sims,3x3,et,
2015-10-18_7,D08,2015-10-18T00:00:00,2015-10-18,0.621697684975034,sims,3x3,et,
2015-10-18_2,D03,2015-10-18T00:00:00,2015-10-18,1.5125,sims,3x3,et,
2015-10-18_3,D11,2015-10-18T00:00:00,2015-10-18,0.5,sims,3x3,et,
2015-10-18_1,D02,2015-10-18T00:00:00,2015-10-18,1.8573362445414847,sims,3x3,et,
2015-10-19_4,D12,2015-10-19T00:00:00,2015-10-19,1.8121363636363637,sims,3x3,et,
2015-10-19_5,D14,2015-10-19T00:00:00,2015-10-19,2.0010026155187446,sims,3x3,et,
2015-10-19_8,D04,2015-10-19T00:00:00,2015-10-19,1.7833115468409586,sims,3x3,et,
2015-10-19_9,D06,2015-10-19T00:00:00,2015-10-19,1.764777680906713,sims,3x3,et,
2015-10-19_11,D10,2015-10-19T00:00:00,2015-10-19,2.4888307155322864,sims,3x3,et,
2015-10-19_10,D09,2015-10-19T00:00:00,2015-10-19,0.8789267015706808,sims,3x3,et,
2015-10-19_12,D13,2015-10-19T00:00:00,2015-10-19,2.721723987810187,sims,3x3,et,
2015-10-19_13,D01,2015-10-19T00:00:00,2015-10-19,0.9284531590413945,sims,3x3,et,
2015-10-19_14,D05,2015-10-19T00:00:00,2015-10-19,1.8586357673808485,sims,3x3,et,
